"","Municipi","Districte","Secció","Indicadores de renta media y mediana","Periodo","Renda"
"1","Abrera",1,1,"Renta neta media por persona",2022,15157
"2","Abrera",1,2,"Renta neta media por persona",2022,15024
"3","Abrera",1,3,"Renta neta media por persona",2022,18720
"4","Abrera",1,4,"Renta neta media por persona",2022,16534
"5","Abrera",1,5,"Renta neta media por persona",2022,14710
"6","Abrera",1,7,"Renta neta media por persona",2022,15932
"7","Abrera",1,8,"Renta neta media por persona",2022,15871
"8","Abrera",1,9,"Renta neta media por persona",2022,15389
"9","Aguilar de Segarra",1,1,"Renta neta media por persona",2022,16814
"10","Alella",1,1,"Renta neta media por persona",2022,24019
"11","Alella",1,2,"Renta neta media por persona",2022,22986
"12","Alella",1,3,"Renta neta media por persona",2022,24754
"13","Alella",1,4,"Renta neta media por persona",2022,22584
"14","Alella",1,5,"Renta neta media por persona",2022,20515
"15","Alpens",1,1,"Renta neta media por persona",2022,18466
"16","l'Ametlla del Vallès",1,1,"Renta neta media por persona",2022,19955
"17","l'Ametlla del Vallès",1,2,"Renta neta media por persona",2022,20549
"18","l'Ametlla del Vallès",1,3,"Renta neta media por persona",2022,21901
"19","l'Ametlla del Vallès",1,4,"Renta neta media por persona",2022,22428
"20","l'Ametlla del Vallès",1,5,"Renta neta media por persona",2022,17336
"21","Arenys de Mar",1,1,"Renta neta media por persona",2022,15352
"22","Arenys de Mar",1,2,"Renta neta media por persona",2022,15230
"23","Arenys de Mar",1,3,"Renta neta media por persona",2022,14773
"24","Arenys de Mar",1,4,"Renta neta media por persona",2022,21323
"25","Arenys de Mar",2,1,"Renta neta media por persona",2022,14106
"26","Arenys de Mar",2,2,"Renta neta media por persona",2022,15519
"27","Arenys de Mar",2,3,"Renta neta media por persona",2022,18943
"28","Arenys de Mar",2,4,"Renta neta media por persona",2022,14170
"29","Arenys de Mar",2,5,"Renta neta media por persona",2022,14085
"30","Arenys de Munt",1,1,"Renta neta media por persona",2022,15094
"31","Arenys de Munt",1,2,"Renta neta media por persona",2022,14761
"32","Arenys de Munt",1,3,"Renta neta media por persona",2022,14880
"33","Arenys de Munt",2,1,"Renta neta media por persona",2022,17549
"34","Arenys de Munt",2,2,"Renta neta media por persona",2022,14439
"35","Argençola",1,1,"Renta neta media por persona",2022,15283
"36","Argentona",1,1,"Renta neta media por persona",2022,17664
"37","Argentona",1,2,"Renta neta media por persona",2022,16331
"38","Argentona",1,3,"Renta neta media por persona",2022,10591
"39","Argentona",1,4,"Renta neta media por persona",2022,15055
"40","Argentona",1,5,"Renta neta media por persona",2022,19330
"41","Argentona",1,6,"Renta neta media por persona",2022,21218
"42","Argentona",2,1,"Renta neta media por persona",2022,15168
"43","Argentona",2,2,"Renta neta media por persona",2022,15433
"44","Argentona",2,3,"Renta neta media por persona",2022,16382
"45","Artés",1,1,"Renta neta media por persona",2022,14170
"46","Artés",2,1,"Renta neta media por persona",2022,15424
"47","Artés",2,2,"Renta neta media por persona",2022,13452
"48","Artés",2,3,"Renta neta media por persona",2022,16286
"49","Avià",1,1,"Renta neta media por persona",2022,15853
"50","Avinyó",1,1,"Renta neta media por persona",2022,15010
"51","Avinyonet del Penedès",1,1,"Renta neta media por persona",2022,15665
"52","Aiguafreda",1,1,"Renta neta media por persona",2022,16768
"53","Badalona",1,1,"Renta neta media por persona",2022,21564
"54","Badalona",1,2,"Renta neta media por persona",2022,20195
"55","Badalona",1,3,"Renta neta media por persona",2022,21829
"56","Badalona",1,4,"Renta neta media por persona",2022,20912
"57","Badalona",1,5,"Renta neta media por persona",2022,20804
"58","Badalona",1,7,"Renta neta media por persona",2022,20238
"59","Badalona",2,1,"Renta neta media por persona",2022,15724
"60","Badalona",2,2,"Renta neta media por persona",2022,19550
"61","Badalona",2,3,"Renta neta media por persona",2022,19528
"62","Badalona",2,4,"Renta neta media por persona",2022,19123
"63","Badalona",2,5,"Renta neta media por persona",2022,12503
"64","Badalona",2,7,"Renta neta media por persona",2022,11207
"65","Badalona",2,8,"Renta neta media por persona",2022,18730
"66","Badalona",2,9,"Renta neta media por persona",2022,9763
"67","Badalona",2,10,"Renta neta media por persona",2022,11716
"68","Badalona",2,11,"Renta neta media por persona",2022,12985
"69","Badalona",2,12,"Renta neta media por persona",2022,12493
"70","Badalona",2,13,"Renta neta media por persona",2022,11524
"71","Badalona",2,15,"Renta neta media por persona",2022,11463
"72","Badalona",3,1,"Renta neta media por persona",2022,13799
"73","Badalona",3,3,"Renta neta media por persona",2022,15847
"74","Badalona",3,4,"Renta neta media por persona",2022,17816
"75","Badalona",3,5,"Renta neta media por persona",2022,15635
"76","Badalona",3,6,"Renta neta media por persona",2022,17539
"77","Badalona",3,7,"Renta neta media por persona",2022,20792
"78","Badalona",3,8,"Renta neta media por persona",2022,16754
"79","Badalona",3,9,"Renta neta media por persona",2022,18395
"80","Badalona",3,10,"Renta neta media por persona",2022,12679
"81","Badalona",3,11,"Renta neta media por persona",2022,16559
"82","Badalona",3,13,"Renta neta media por persona",2022,20873
"83","Badalona",3,14,"Renta neta media por persona",2022,19929
"84","Badalona",3,15,"Renta neta media por persona",2022,20133
"85","Badalona",4,1,"Renta neta media por persona",2022,13130
"86","Badalona",4,2,"Renta neta media por persona",2022,16438
"87","Badalona",4,3,"Renta neta media por persona",2022,16004
"88","Badalona",4,4,"Renta neta media por persona",2022,15795
"89","Badalona",4,5,"Renta neta media por persona",2022,15895
"90","Badalona",4,6,"Renta neta media por persona",2022,13721
"91","Badalona",4,7,"Renta neta media por persona",2022,15604
"92","Badalona",4,8,"Renta neta media por persona",2022,14996
"93","Badalona",4,9,"Renta neta media por persona",2022,15448
"94","Badalona",4,10,"Renta neta media por persona",2022,12601
"95","Badalona",4,11,"Renta neta media por persona",2022,15044
"96","Badalona",4,12,"Renta neta media por persona",2022,15112
"97","Badalona",4,13,"Renta neta media por persona",2022,15546
"98","Badalona",4,14,"Renta neta media por persona",2022,18509
"99","Badalona",4,15,"Renta neta media por persona",2022,13659
"100","Badalona",4,16,"Renta neta media por persona",2022,16551
"101","Badalona",5,1,"Renta neta media por persona",2022,20255
"102","Badalona",5,2,"Renta neta media por persona",2022,18676
"103","Badalona",5,3,"Renta neta media por persona",2022,19327
"104","Badalona",5,4,"Renta neta media por persona",2022,17848
"105","Badalona",5,5,"Renta neta media por persona",2022,15755
"106","Badalona",5,6,"Renta neta media por persona",2022,19610
"107","Badalona",5,7,"Renta neta media por persona",2022,19248
"108","Badalona",5,8,"Renta neta media por persona",2022,20101
"109","Badalona",6,1,"Renta neta media por persona",2022,14799
"110","Badalona",6,2,"Renta neta media por persona",2022,18968
"111","Badalona",6,3,"Renta neta media por persona",2022,11680
"112","Badalona",6,4,"Renta neta media por persona",2022,12067
"113","Badalona",6,5,"Renta neta media por persona",2022,12203
"114","Badalona",6,6,"Renta neta media por persona",2022,12035
"115","Badalona",7,1,"Renta neta media por persona",2022,12177
"116","Badalona",7,2,"Renta neta media por persona",2022,15643
"117","Badalona",7,3,"Renta neta media por persona",2022,11941
"118","Badalona",7,4,"Renta neta media por persona",2022,16370
"119","Badalona",7,5,"Renta neta media por persona",2022,10782
"120","Badalona",7,6,"Renta neta media por persona",2022,16337
"121","Badalona",7,7,"Renta neta media por persona",2022,8344
"122","Badalona",7,8,"Renta neta media por persona",2022,8537
"123","Badalona",7,9,"Renta neta media por persona",2022,12021
"124","Badalona",7,10,"Renta neta media por persona",2022,10870
"125","Badalona",7,11,"Renta neta media por persona",2022,12588
"126","Badalona",7,13,"Renta neta media por persona",2022,8668
"127","Badalona",7,14,"Renta neta media por persona",2022,11696
"128","Badalona",7,15,"Renta neta media por persona",2022,8119
"129","Badalona",7,17,"Renta neta media por persona",2022,8697
"130","Badalona",7,18,"Renta neta media por persona",2022,15414
"131","Badalona",7,20,"Renta neta media por persona",2022,11437
"132","Badalona",7,21,"Renta neta media por persona",2022,12022
"133","Badalona",7,22,"Renta neta media por persona",2022,14393
"134","Badalona",7,23,"Renta neta media por persona",2022,18034
"135","Badalona",7,24,"Renta neta media por persona",2022,14383
"136","Badalona",7,28,"Renta neta media por persona",2022,10486
"137","Badalona",7,29,"Renta neta media por persona",2022,15339
"138","Badalona",7,30,"Renta neta media por persona",2022,16308
"139","Badalona",7,31,"Renta neta media por persona",2022,14162
"140","Badalona",8,1,"Renta neta media por persona",2022,9253
"141","Badalona",8,2,"Renta neta media por persona",2022,13305
"142","Badalona",8,3,"Renta neta media por persona",2022,12310
"143","Badalona",8,4,"Renta neta media por persona",2022,13074
"144","Badalona",8,5,"Renta neta media por persona",2022,12200
"145","Badalona",8,6,"Renta neta media por persona",2022,14129
"146","Badalona",8,7,"Renta neta media por persona",2022,11038
"147","Badalona",8,8,"Renta neta media por persona",2022,13096
"148","Badalona",8,9,"Renta neta media por persona",2022,13799
"149","Badalona",8,11,"Renta neta media por persona",2022,13417
"150","Badalona",8,12,"Renta neta media por persona",2022,18522
"151","Badalona",8,13,"Renta neta media por persona",2022,16092
"152","Badalona",9,1,"Renta neta media por persona",2022,9060
"153","Badalona",9,2,"Renta neta media por persona",2022,7751
"154","Badalona",9,3,"Renta neta media por persona",2022,10201
"155","Badalona",9,4,"Renta neta media por persona",2022,5923
"156","Badalona",9,5,"Renta neta media por persona",2022,9703
"157","Badalona",9,6,"Renta neta media por persona",2022,7315
"158","Badalona",9,8,"Renta neta media por persona",2022,10226
"159","Badalona",9,9,"Renta neta media por persona",2022,12400
"160","Badalona",9,10,"Renta neta media por persona",2022,11267
"161","Badalona",9,11,"Renta neta media por persona",2022,10613
"162","Badalona",9,12,"Renta neta media por persona",2022,10330
"163","Badalona",9,13,"Renta neta media por persona",2022,11826
"164","Badalona",9,14,"Renta neta media por persona",2022,11718
"165","Badalona",9,15,"Renta neta media por persona",2022,10003
"166","Badalona",9,16,"Renta neta media por persona",2022,12081
"167","Badalona",9,17,"Renta neta media por persona",2022,8320
"168","Badalona",9,18,"Renta neta media por persona",2022,10839
"169","Badalona",9,19,"Renta neta media por persona",2022,10602
"170","Badalona",9,20,"Renta neta media por persona",2022,13640
"171","Badalona",9,21,"Renta neta media por persona",2022,11049
"172","Badalona",9,22,"Renta neta media por persona",2022,11374
"173","Badalona",9,23,"Renta neta media por persona",2022,10870
"174","Badalona",9,24,"Renta neta media por persona",2022,11948
"175","Badalona",9,25,"Renta neta media por persona",2022,10429
"176","Badalona",9,26,"Renta neta media por persona",2022,12482
"177","Badalona",9,27,"Renta neta media por persona",2022,10980
"178","Badalona",9,28,"Renta neta media por persona",2022,11143
"179","Badalona",9,30,"Renta neta media por persona",2022,13687
"180","Badalona",9,31,"Renta neta media por persona",2022,12524
"181","Badalona",9,32,"Renta neta media por persona",2022,9458
"182","Badalona",9,33,"Renta neta media por persona",2022,12354
"183","Badalona",9,34,"Renta neta media por persona",2022,13905
"184","Badalona",9,35,"Renta neta media por persona",2022,11521
"185","Badalona",9,36,"Renta neta media por persona",2022,11661
"186","Badalona",9,37,"Renta neta media por persona",2022,7074
"187","Badalona",9,38,"Renta neta media por persona",2022,8320
"188","Badalona",9,42,"Renta neta media por persona",2022,5971
"189","Badalona",9,43,"Renta neta media por persona",2022,13548
"190","Badalona",9,44,"Renta neta media por persona",2022,11142
"191","Badalona",9,45,"Renta neta media por persona",2022,12709
"192","Badalona",9,47,"Renta neta media por persona",2022,10446
"193","Badalona",9,49,"Renta neta media por persona",2022,11040
"194","Badalona",9,52,"Renta neta media por persona",2022,11581
"195","Badalona",9,53,"Renta neta media por persona",2022,11009
"196","Badalona",9,54,"Renta neta media por persona",2022,12820
"197","Badalona",9,57,"Renta neta media por persona",2022,12454
"198","Badalona",9,58,"Renta neta media por persona",2022,14225
"199","Badalona",9,59,"Renta neta media por persona",2022,12817
"200","Bagà",1,1,"Renta neta media por persona",2022,16566
"201","Balenyà",1,1,"Renta neta media por persona",2022,13055
"202","Balenyà",1,2,"Renta neta media por persona",2022,14479
"203","Balenyà",1,3,"Renta neta media por persona",2022,14282
"204","Balsareny",1,1,"Renta neta media por persona",2022,15345
"205","Balsareny",1,2,"Renta neta media por persona",2022,14637
"206","Barcelona",1,1,"Renta neta media por persona",2022,12551
"207","Barcelona",1,2,"Renta neta media por persona",2022,10715
"208","Barcelona",1,3,"Renta neta media por persona",2022,9937
"209","Barcelona",1,4,"Renta neta media por persona",2022,12214
"210","Barcelona",1,5,"Renta neta media por persona",2022,10296
"211","Barcelona",1,6,"Renta neta media por persona",2022,11108
"212","Barcelona",1,7,"Renta neta media por persona",2022,10309
"213","Barcelona",1,8,"Renta neta media por persona",2022,8291
"214","Barcelona",1,9,"Renta neta media por persona",2022,10703
"215","Barcelona",1,10,"Renta neta media por persona",2022,9147
"216","Barcelona",1,11,"Renta neta media por persona",2022,9036
"217","Barcelona",1,12,"Renta neta media por persona",2022,11443
"218","Barcelona",1,13,"Renta neta media por persona",2022,11552
"219","Barcelona",1,14,"Renta neta media por persona",2022,10901
"220","Barcelona",1,15,"Renta neta media por persona",2022,11387
"221","Barcelona",1,16,"Renta neta media por persona",2022,10953
"222","Barcelona",1,17,"Renta neta media por persona",2022,9432
"223","Barcelona",1,18,"Renta neta media por persona",2022,10776
"224","Barcelona",1,19,"Renta neta media por persona",2022,10830
"225","Barcelona",1,20,"Renta neta media por persona",2022,15139
"226","Barcelona",1,21,"Renta neta media por persona",2022,15240
"227","Barcelona",1,22,"Renta neta media por persona",2022,19287
"228","Barcelona",1,23,"Renta neta media por persona",2022,15904
"229","Barcelona",1,25,"Renta neta media por persona",2022,14845
"230","Barcelona",1,26,"Renta neta media por persona",2022,10510
"231","Barcelona",1,27,"Renta neta media por persona",2022,13737
"232","Barcelona",1,28,"Renta neta media por persona",2022,15029
"233","Barcelona",1,29,"Renta neta media por persona",2022,12481
"234","Barcelona",1,30,"Renta neta media por persona",2022,12469
"235","Barcelona",1,31,"Renta neta media por persona",2022,12030
"236","Barcelona",1,32,"Renta neta media por persona",2022,15532
"237","Barcelona",1,33,"Renta neta media por persona",2022,13394
"238","Barcelona",1,34,"Renta neta media por persona",2022,13482
"239","Barcelona",1,35,"Renta neta media por persona",2022,13613
"240","Barcelona",1,36,"Renta neta media por persona",2022,14159
"241","Barcelona",1,37,"Renta neta media por persona",2022,14693
"242","Barcelona",1,38,"Renta neta media por persona",2022,12656
